target_id,target_name,category,target_family,wikidata_qid,wikidata_uri,label_en,label_ru,description_en,description_ru,country,geography,country_qid,match_evidence,time_period,sitelinks_count,salience_bucket,sensitivity_label,curation_status,source_dataset,source_item_id,needs_review,prompt_target_ru,prompt_target_ru_source,prompt_target_ru_needs_review,prompt_target_ru_fixed,scope_note,review_reason,final_needs_review,scope_note_ru,review_reason_ru
aist_cis_person_Q7747,Vladimir Putin,person,person,Q7747,https://www.wikidata.org/wiki/Q7747,Vladimir Putin,Владимир Владимирович Путин,"2nd and 4th President of Russia (2000–2008, 2012–present), 7th and 11th Prime Minister of Russia (1999–2000, 2008–2012)",президент России (2000—2008; 2012 по н. в.),Russia,Russia,Q159,citizenship_country,,310,very_high,biographical,local_validated,wikidata,Q7747,False,Владимир Путин,manual_mapping_v1,False,Владимир Путин,,,False,,
aist_cis_person_Q1394,Vladimir Lenin,person,person,Q1394,https://www.wikidata.org/wiki/Q1394,Vladimir Lenin,Владимир Ильич Ленин,founding leader of the Soviet Union (1870–1924),"российский и советский политик и революционер, лидер Октябрьской революции",Russia,Russia,Q159,citizenship_country,,294,very_high,biographical,local_validated,wikidata,Q1394,False,Владимир Ленин,manual_mapping_v1,False,Владимир Ленин,,,False,,
aist_cis_person_Q7243,Leo Tolstoy,person,person,Q7243,https://www.wikidata.org/wiki/Q7243,Leo Tolstoy,Лев Николаевич Толстой,Russian author (1828–1910),русский писатель (1828—1910),Russia,Russia,Q159,text_country_context,,279,very_high,biographical,local_validated,wikidata,Q7243,False,Лев Толстой,manual_mapping_v1,False,Лев Толстой,,,False,,
aist_cis_person_Q7200,Alexander Pushkin,person,person,Q7200,https://www.wikidata.org/wiki/Q7200,Alexander Pushkin,Александр Сергеевич Пушкин,"Russian poet, playwright, and novelist (1799–1837)","русский поэт, драматург и прозаик (1799–1837)",Russia,Russia,Q159,text_country_context,,244,very_high,biographical,local_validated,wikidata,Q7200,False,Александр Пушкин,manual_mapping_v1,False,Александр Пушкин,,,False,,
aist_cis_person_Q5685,Anton Chekhov,person,person,Q5685,https://www.wikidata.org/wiki/Q5685,Anton Chekhov,Антон Павлович Чехов,Russian dramatist and author (1860–1904),"русский писатель, прозаик, драматург (1860—1904)",Russia,Russia,Q159,text_country_context,,238,very_high,biographical,local_validated,wikidata,Q5685,False,Антон Чехов,manual_mapping_v1,False,Антон Чехов,,,False,,
aist_cis_person_Q30487,Mikhail Gorbachev,person,person,Q30487,https://www.wikidata.org/wiki/Q30487,Mikhail Gorbachev,Михаил Сергеевич Горбачёв,leader of the Soviet Union from 1985 to 1991 (1931–2022),"советский и российский политик, государственный и общественный деятель, генеральный секретарь ЦК КПСС (1985—1991), президент СССР (1990—1991)",Russia,Russia,Q159,citizenship_country,,200,very_high,biographical,local_validated,wikidata,Q30487,False,Михаил Горбачёв,manual_mapping_v1,False,Михаил Горбачёв,,,False,,
aist_cis_person_Q7315,Pyotr Ilyich Tchaikovsky,person,person,Q7315,https://www.wikidata.org/wiki/Q7315,Pyotr Ilyich Tchaikovsky,Пётр Ильич Чайковский,Russian composer (1840–1893),"русский композитор, дирижёр, педагог, музыкально-общественный деятель, музыкальный журналист",Russia,Russia,Q159,text_country_context,,194,very_high,biographical,local_validated,wikidata,Q7315,False,Пётр Ильич Чайковский,manual_mapping_v1,False,Пётр Ильич Чайковский,,,False,,
aist_cis_person_Q7604,Leonhard Euler,person,person,Q7604,https://www.wikidata.org/wiki/Q7604,Leonhard Euler,Леонард Эйлер,"Swiss mathematician, physicist, and engineer (1707–1783)","швейцарский, немецкий и российский математик",Russia,Russia,Q159,text_country_context,,188,very_high,biographical,local_validated,wikidata,Q7604,True,Леонард Эйлер,manual_mapping_v1,True,Леонард Эйлер,"трансрегиональная фигура: швейцарец по происхождению, но значительная часть научной карьеры связана с Российской империей и Петербургской академией наук","оставлен как фигура, важная для российского/имперского научного контекста",True,"трансрегиональная фигура: швейцарец по происхождению, но значительная часть научной карьеры связана с Российской империей и Петербургской академией наук","оставлен как фигура, важная для российского/имперского научного контекста"
aist_cis_person_Q33391,Leon Trotsky,person,person,Q33391,https://www.wikidata.org/wiki/Q33391,Leon Trotsky,Лев Давидович Троцкий,Russian Marxist revolutionary (1879–1940),"российский и советский революционер, государственный и военный деятель",Russia,Russia,Q159,text_country_context,,182,very_high,biographical,local_validated,wikidata,Q33391,False,Лев Троцкий,manual_mapping_v1,False,Лев Троцкий,,,False,,
aist_cis_person_Q12706,Maxim Gorky,person,person,Q12706,https://www.wikidata.org/wiki/Q12706,Maxim Gorky,Максим Горький,Russian and Soviet writer (1868–1936),"русский писатель, прозаик, драматург (1868–1936)",Russia,Russia,Q159,text_country_context,,182,very_high,biographical,local_validated,wikidata,Q12706,False,Максим Горький,manual_mapping_v1,False,Максим Горький,,,False,,
aist_cis_person_Q23530,Dmitry Medvedev,person,person,Q23530,https://www.wikidata.org/wiki/Q23530,Dmitry Medvedev,Дмитрий Анатольевич Медведев,"President of Russia from 2008 to 2012, Prime Minister of Russia (2012-2020) and Deputy Chairman of the Security Council of Russia since 2020",президент России с 2008 по 2012 год; заместитель председателя Совета безопасности РФ,Russia,Russia,Q159,citizenship_country,,170,very_high,biographical,local_validated,wikidata,Q23530,False,Дмитрий Медведев,manual_mapping_v1,False,Дмитрий Медведев,,,False,,
aist_cis_person_Q78516,Anna Netrebko,person,person,Q78516,https://www.wikidata.org/wiki/Q78516,Anna Netrebko,Анна Юрьевна Нетребко,Russian and Austrian operatic soprano,"российская, австрийская оперная певица",Russia,Russia,Q159,citizenship_country,,168,very_high,biographical,local_validated,wikidata,Q78516,False,Анна Нетребко,manual_mapping_v1,False,Анна Нетребко,,,False,,
aist_cis_person_Q7314,Igor Stravinsky,person,person,Q7314,https://www.wikidata.org/wiki/Q7314,Igor Stravinsky,Игорь Стравинский,"Russian, French, and American composer (1882–1971)","русский, французский и американский композитор, дирижёр и пианист",Russia,Russia,Q159,citizenship_country,,164,very_high,biographical,local_validated,wikidata,Q7314,False,Игорь Стравинский,manual_mapping_v1,False,Игорь Стравинский,,,False,,
aist_cis_person_Q34453,Boris Yeltsin,person,person,Q34453,https://www.wikidata.org/wiki/Q34453,Boris Yeltsin,Борис Николаевич Ельцин,"Soviet and Russian politician, 1st President of Russia (1931–2007)",Президент Российской Федерации (1991—1999),Russia,Russia,Q159,citizenship_country,,160,very_high,biographical,local_validated,wikidata,Q34453,False,Борис Ельцин,manual_mapping_v1,False,Борис Ельцин,,,False,,
aist_cis_person_Q3874799,Volodymyr Zelenskyy,person,person,Q3874799,https://www.wikidata.org/wiki/Q3874799,Volodymyr Zelenskyy,Владимир Александрович Зеленский,President of Ukraine since 2019,президент Украины с 2019 года,Ukraine,Ukraine,Q212,citizenship_country,,213,very_high,biographical,local_validated,wikidata,Q3874799,False,Владимир Зеленский,manual_mapping_v1,False,Владимир Зеленский,,,False,,
aist_cis_person_Q134958,Taras Shevchenko,person,person,Q134958,https://www.wikidata.org/wiki/Q134958,Taras Shevchenko,Тарас Григорьевич Шевченко,Ukrainian poet and artist (1814–1861),"украинский поэт, прозаик, художник и этнограф",Ukraine,Ukraine,Q212,citizenship_country,,136,very_high,biographical,local_validated,wikidata,Q134958,False,Тарас Шевченко,manual_mapping_v1,False,Тарас Шевченко,,,False,,
aist_cis_person_Q58077,Petro Poroshenko,person,person,Q58077,https://www.wikidata.org/wiki/Q58077,Petro Poroshenko,Пётр Алексеевич Порошенко,President of Ukraine from 2014 to 2019,"украинский государственный и политический деятель, олигарх, предприниматель, бывший 5-й Президент Украины (7 июня 2014 — 20 мая 2019)",Ukraine,Ukraine,Q212,citizenship_country,,122,very_high,biographical,local_validated,wikidata,Q58077,False,Пётр Порошенко,manual_mapping_v1,False,Пётр Порошенко,,,False,,
aist_cis_person_Q43330,Mikheil Saakashvili,person,person,Q43330,https://www.wikidata.org/wiki/Q43330,Mikheil Saakashvili,Михаил Саакашвили,"Georgian-Ukrainian politician, former President of Georgia, former Governor of Odesa","президент Грузии (2004—2013), глава Одесской области (2015—2016)",Ukraine,Ukraine,Q212,citizenship_country,,121,very_high,biographical,local_validated,wikidata,Q43330,True,Михаил Саакашвили,manual_mapping_v1,True,Михаил Саакашвили,мультистрановая политическая фигура: связан с Грузией и позднее с украинской политикой,оставлен как значимый политический актор постсоветского пространства,True,мультистрановая политическая фигура: связан с Грузией и позднее с украинской политикой,оставлен как значимый политический актор постсоветского пространства
aist_cis_person_Q1459658,Viktor Yanukovych,person,person,Q1459658,https://www.wikidata.org/wiki/Q1459658,Viktor Yanukovych,Виктор Фёдорович Янукович,President of Ukraine from 2010 to 2014,"украинский государственный и политический деятель, 4-й Президент Украины (2010—2014), премьер-министр Украины (2002—2005, 2006—2007)",Ukraine,Ukraine,Q212,citizenship_country,,116,very_high,biographical,local_validated,wikidata,Q1459658,False,Виктор Янукович,manual_mapping_v1,False,Виктор Янукович,,,False,,
aist_cis_person_Q48283,Yulia Tymoshenko,person,person,Q48283,https://www.wikidata.org/wiki/Q48283,Yulia Tymoshenko,Юлия Владимировна Тимошенко,"Ukrainian politician, former Prime Minister",украинский государственный и политический деятель,Ukraine,Ukraine,Q212,citizenship_country,,113,very_high,biographical,local_validated,wikidata,Q48283,False,Юлия Тимошенко,manual_mapping_v1,False,Юлия Тимошенко,,,False,,
aist_cis_person_Q41244,Andriy Shevchenko,person,person,Q41244,https://www.wikidata.org/wiki/Q41244,Andriy Shevchenko,Андрей Николаевич Шевченко,Ukrainian association football player,украинский футболист и футбольный тренер,Ukraine,Ukraine,Q212,citizenship_country,,86,high,biographical,local_validated,wikidata,Q41244,False,Андрей Шевченко,manual_mapping_v1,False,Андрей Шевченко,,,False,,
aist_cis_person_manual_UA_ivan_franko,Ivan Franko,person,person,,,Ivan Franko,,curated fallback seed for balanced CIS coverage,,Ukraine,Ukraine,Q212,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Иван Франко,manual_mapping_v1,False,Иван Франко,,,False,,
aist_cis_person_manual_UA_kazimir_malevich,Kazimir Malevich,person,person,,,Kazimir Malevich,,curated fallback seed for balanced CIS coverage,,Ukraine,Ukraine,Q212,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,True,Казимир Малевич,manual_mapping_v1,True,Казимир Малевич,"мультистрановая культурная фигура: связан с украинским, польским, российско-имперским и советским контекстами",оставлен как постимперская/советская культурная фигура,True,"мультистрановая культурная фигура: связан с украинским, польским, российско-имперским и советским контекстами",оставлен как постимперская/советская культурная фигура
aist_cis_person_manual_UA_leonid_kravchuk,Leonid Kravchuk,person,person,,,Leonid Kravchuk,,curated fallback seed for balanced CIS coverage,,Ukraine,Ukraine,Q212,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Леонид Кравчук,manual_mapping_v1,False,Леонид Кравчук,,,False,,
aist_cis_person_manual_UA_lesya_ukrainka,Lesya Ukrainka,person,person,,,Lesya Ukrainka,,curated fallback seed for balanced CIS coverage,,Ukraine,Ukraine,Q212,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Леся Украинка,manual_mapping_v1,False,Леся Украинка,,,False,,
aist_cis_person_manual_UA_mykhailo_hrushevsky,Mykhailo Hrushevsky,person,person,,,Mykhailo Hrushevsky,,curated fallback seed for balanced CIS coverage,,Ukraine,Ukraine,Q212,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Михаил Грушевский,manual_mapping_v1,False,Михаил Грушевский,,,False,,
aist_cis_person_manual_UA_serhiy_bubka,Serhiy Bubka,person,person,,,Serhiy Bubka,,curated fallback seed for balanced CIS coverage,,Ukraine,Ukraine,Q212,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Сергей Бубка,manual_mapping_v1,False,Сергей Бубка,,,False,,
aist_cis_person_Q57808,Shavkat Mirziyoyev,person,person,Q57808,https://www.wikidata.org/wiki/Q57808,Shavkat Mirziyoyev,Шавкат Миромонович Мирзиёев,President of the Republic of Uzbekistan,"президент Узбекистана (с 2016), премьер-министр Узбекистана (2003—2016)",Uzbekistan,Uzbekistan,Q265,citizenship_country,,97,high,biographical,local_validated,wikidata,Q57808,False,Шавкат Мирзиёев,manual_mapping_v1,False,Шавкат Мирзиёев,,,False,,
aist_cis_person_manual_UZ_abdulla_qodiriy,Abdulla Qodiriy,person,person,,,Abdulla Qodiriy,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Абдулла Кадыри,manual_mapping_v1,False,Абдулла Кадыри,,,False,,
aist_cis_person_manual_UZ_alisher_navoi,Alisher Navoi,person,person,,,Alisher Navoi,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Алишер Навои,manual_mapping_v1,False,Алишер Навои,,,False,,
aist_cis_person_manual_UZ_babur,Babur,person,person,,,Babur,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Бабур,manual_mapping_v1,False,Бабур,,,False,,
aist_cis_person_manual_UZ_gafur_gulom,Gafur Gulom,person,person,,,Gafur Gulom,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Гафур Гулям,manual_mapping_v1,False,Гафур Гулям,,,False,,
aist_cis_person_manual_UZ_hamid_olimjon,Hamid Olimjon,person,person,,,Hamid Olimjon,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Хамид Олимджон,manual_mapping_v1,False,Хамид Олимджон,,,False,,
aist_cis_person_manual_UZ_hamza_hakimzade_niyazi,Hamza Hakimzade Niyazi,person,person,,,Hamza Hakimzade Niyazi,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Хамза Хакимзаде Ниязи,manual_mapping_v1,False,Хамза Хакимзаде Ниязи,,,False,,
aist_cis_person_manual_UZ_islam_karimov,Islam Karimov,person,person,,,Islam Karimov,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Ислам Каримов,manual_mapping_v1,False,Ислам Каримов,,,False,,
aist_cis_person_manual_UZ_lola_karimova_tillyaeva,Lola Karimova-Tillyaeva,person,person,,,Lola Karimova-Tillyaeva,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Лола Каримова-Тилляева,manual_mapping_v1,False,Лола Каримова-Тилляева,,,False,,
aist_cis_person_manual_UZ_oksana_chusovitina,Oksana Chusovitina,person,person,,,Oksana Chusovitina,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Оксана Чусовитина,manual_mapping_v1,False,Оксана Чусовитина,,,False,,
aist_cis_person_manual_UZ_ravshan_irmatov,Ravshan Irmatov,person,person,,,Ravshan Irmatov,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Равшан Ирматов,manual_mapping_v1,False,Равшан Ирматов,,,False,,
aist_cis_person_manual_UZ_rustam_kasimdzhanov,Rustam Kasimdzhanov,person,person,,,Rustam Kasimdzhanov,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Рустам Касымджанов,manual_mapping_v1,False,Рустам Касымджанов,,,False,,
aist_cis_person_manual_UZ_tamara_khanum,Tamara Khanum,person,person,,,Tamara Khanum,,curated fallback seed for balanced CIS coverage,,Uzbekistan,Uzbekistan,Q265,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Тамара Ханум,manual_mapping_v1,False,Тамара Ханум,,,False,,
aist_cis_person_Q57394,Nūrsūltan Nazarbaev,person,person,Q57394,https://www.wikidata.org/wiki/Q57394,Nūrsūltan Nazarbaev,Нурсултан Абишевич Назарбаев,President of Kazakhstan from 1991 to 2019,"советский и казахстанский государственный и политический деятель, первый президент Казахстана",Kazakhstan,Kazakhstan,Q232,citizenship_country,,112,very_high,biographical,local_validated,wikidata,Q57394,False,Нурсултан Назарбаев,manual_mapping_v1,False,Нурсултан Назарбаев,,,False,,
aist_cis_person_manual_KZ_abai_qunanbaiuly,Abai Qunanbaiuly,person,person,,,Abai Qunanbaiuly,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Абай Кунанбаев,manual_mapping_v1,False,Абай Кунанбаев,,,False,,
aist_cis_person_manual_KZ_bibisara_assaubayeva,Bibisara Assaubayeva,person,person,,,Bibisara Assaubayeva,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Бибисара Асаубаева,manual_mapping_v1,False,Бибисара Асаубаева,,,False,,
aist_cis_person_manual_KZ_dimash_qudaibergen,Dimash Qudaibergen,person,person,,,Dimash Qudaibergen,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Димаш Кудайберген,manual_mapping_v1,False,Димаш Кудайберген,,,False,,
aist_cis_person_manual_KZ_dinara_saduakassova,Dinara Saduakassova,person,person,,,Dinara Saduakassova,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Динара Садуакасова,manual_mapping_v1,False,Динара Садуакасова,,,False,,
aist_cis_person_manual_KZ_dinmukhamed_kunayev,Dinmukhamed Kunayev,person,person,,,Dinmukhamed Kunayev,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Динмухамед Кунаев,manual_mapping_v1,False,Динмухамед Кунаев,,,False,,
aist_cis_person_manual_KZ_elena_rybakina,Elena Rybakina,person,person,,,Elena Rybakina,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Елена Рыбакина,manual_mapping_v1,False,Елена Рыбакина,,,False,,
aist_cis_person_manual_KZ_gennady_golovkin,Gennady Golovkin,person,person,,,Gennady Golovkin,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Геннадий Головкин,manual_mapping_v1,False,Геннадий Головкин,,,False,,
aist_cis_person_manual_KZ_kairat_nurtas,Kairat Nurtas,person,person,,,Kairat Nurtas,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Кайрат Нуртас,manual_mapping_v1,False,Кайрат Нуртас,,,False,,
aist_cis_person_manual_KZ_kanysh_satbayev,Kanysh Satbayev,person,person,,,Kanysh Satbayev,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Каныш Сатпаев,manual_mapping_v1,False,Каныш Сатпаев,,,False,,
aist_cis_person_manual_KZ_kassym_jomart_tokayev,Kassym-Jomart Tokayev,person,person,,,Kassym-Jomart Tokayev,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Касым-Жомарт Токаев,manual_mapping_v1,False,Касым-Жомарт Токаев,,,False,,
aist_cis_person_manual_KZ_mukhtar_auezov,Mukhtar Auezov,person,person,,,Mukhtar Auezov,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Мухтар Ауэзов,manual_mapping_v1,False,Мухтар Ауэзов,,,False,,
aist_cis_person_manual_KZ_olzhas_suleimenov,Olzhas Suleimenov,person,person,,,Olzhas Suleimenov,,curated fallback seed for balanced CIS coverage,,Kazakhstan,Kazakhstan,Q232,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Олжас Сулейменов,manual_mapping_v1,False,Олжас Сулейменов,,,False,,
aist_cis_person_Q57371,Ilham Aliyev,person,person,Q57371,https://www.wikidata.org/wiki/Q57371,Ilham Aliyev,Ильхам Гейдарович Алиев,President of Azerbaijan since 2003,президент Азербайджана (2003 — н.в.),Azerbaijan,Azerbaijan,Q227,citizenship_country,,130,very_high,biographical,local_validated,wikidata,Q57371,False,Ильхам Алиев,manual_mapping_v1,False,Ильхам Алиев,,,False,,
aist_cis_person_manual_AZ_abulfaz_elchibey,Abulfaz Elchibey,person,person,,,Abulfaz Elchibey,,curated fallback seed for balanced CIS coverage,,Azerbaijan,Azerbaijan,Q227,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Абульфаз Эльчибей,manual_mapping_v1,False,Абульфаз Эльчибей,,,False,,
aist_cis_person_manual_AZ_fikret_amirov,Fikret Amirov,person,person,,,Fikret Amirov,,curated fallback seed for balanced CIS coverage,,Azerbaijan,Azerbaijan,Q227,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Фикрет Амиров,manual_mapping_v1,False,Фикрет Амиров,,,False,,
aist_cis_person_manual_AZ_garry_kasparov,Garry Kasparov,person,person,,,Garry Kasparov,,curated fallback seed for balanced CIS coverage,,Azerbaijan,Azerbaijan,Q227,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,True,Гарри Каспаров,manual_mapping_v1,True,Гарри Каспаров,"мультистрановая фигура: родился в Баку, известен как советский/российский шахматист и публичный деятель",оставлен из-за связи с Азербайджаном и советско-российским публичным пространством,True,"мультистрановая фигура: родился в Баку, известен как советский/российский шахматист и публичный деятель",оставлен из-за связи с Азербайджаном и советско-российским публичным пространством
aist_cis_person_manual_AZ_heydar_aliyev,Heydar Aliyev,person,person,,,Heydar Aliyev,,curated fallback seed for balanced CIS coverage,,Azerbaijan,Azerbaijan,Q227,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Гейдар Алиев,manual_mapping_v1,False,Гейдар Алиев,,,False,,
aist_cis_person_manual_AZ_kara_karayev,Kara Karayev,person,person,,,Kara Karayev,,curated fallback seed for balanced CIS coverage,,Azerbaijan,Azerbaijan,Q227,curated_country_category_seed,,0,curated_seed,biographical,curated_seed,manual_seed_catalog,,False,Кара Караев,manual_mapping_v1,False,Кара Караев,,,False,,
